la cúspide|summit
ladrar|to bark
la ducha|shower
la emboscada|ambush
la entrevista|interview
la epopeya|epic
la escalinata|staircase
la escarcha|frost
la escultura|sculpture
la esfinge|sphinx
la espada|sword
la espina|thorn
la espuma|foam
la estación|season
la estampilla|stamp
la estrella fugaz|shooting star
la fachada|facade
la farola|streetlight
la flecha|arrow
la flor|flower
la frambuesa|raspberry
la frazada|blanket
la fresa|strawberry
la fuente|fountain
la gabardina|trench coat
la gaita|bagpipes
la galleta|cookie
la gaviota|seagull
la golondrina|swallow
la golosina|candy
la gotera|leak
la guacamaya|macaw
la guarida|lair
la guirnalda|garland
la hamaca|hammock
la hambruna|famine
la hebilla|buckle
la heladería|ice cream parlor
la herradura|horseshoe
la hielera|cooler
la higuera|fig tree
la hojalata|tin
la hoja|leaf
la hora|hour
la huella|footprint
la igualdad|equality
la jalea|jelly
la Janucá|Hanukkah
la jaqueca|migraine
la jardinería|gardening
la jirafa|giraffe
la jornada laboral|workday
la jubilación|retirement
la lana|wool
la lápida|tombstone
la lechuza|barn owl
la leña|firewood
la lengua|tongue
la lenteja|lentil
la lentejuela|sequin
la levadura|yeast
la libertad|freedom
la licuadora|blender
la liebre|hare
la lila|lilac
la limonada|lemonade
la linterna|flashlight
la litera|bunk
la llave|key
la llegada|arrival
la llorona|Weeping Woman
la luciérnaga|firefly
la luna de miel|honeymoon
la luna llena|full moon
la lupa|magnifying glass
la maceta|flowerpot
la maleta|suitcase
la malteada|milkshake
la manada|herd
la maña|skill
la manga|sleeve
la manguera|hose
la manteca|lard
la mantequilla|butter
la manzanilla|chamomile
la marea|tide
la margarita|daisy
la mazmorra|dungeon
la mecedora|rocking chair
la medianoche|midnight
la mercancía|merchandise
la mezquita|mosque
la miel|honey
la mochila|backpack
la momia|mummy
la montaña rusa|roller coaster
la moraleja|moral
la morsa|walrus
la mueca|face
la multitud|crowd
la nevada|snowfall
la nieta|granddaughter
la nuez moscada|nutmeg
la nutria|otter
la obra de teatro|play
la ojera|bag under one&#x27;s eyes
la ola|wave
la orilla|shore
la orquídea|orchid
la oscuridad|dark
la palmera|palm tree
la pandereta|tambourine
la pantorrilla|calf
la pantufla|slipper
la papa frita|french fry
la papa|potato
la papilla|baby food
la parca|Grim Reaper
la pareja|couple
la parrillada|barbecue
la pasantía|internship
la pasa|raisin
la patada|kick
la peca|freckle
la peluca|wig
la persiana|blind
la pesadilla|nightmare
la pesquisa|inquiry
la pestaña|eyelash
la pimienta|pepper
la piña|pineapple
la piragua|canoe
la piscina|swimming pool
la pizca|pinch
la planta baja|first floor
la pluma|feather
la potestad|authority
la primavera|spring
la procedencia|origin
la profundidad|depth
la propina|tip
la pulgada|inch
la quijada|jaw
la rabieta|tantrum
la ráfaga|gust
la raíz|root
la ramita|twig
la remolacha|beet
la rendija|crack
la rodaja|slice
la rosca de Reyes|Three Kings bread
la rosquilla|doughnut
la sabiduría|wisdom
la sandía|watermelon
la sarta|string
la savia|sap
las bellas artes|fine arts
las damas|checkers
la secadora|dryer
la seda|silk
la semilla|seed
la sentada|sit-in
la sequía|drought
la servilleta|napkin
las fiestas|holidays
la sien|temple
la sierra|mountain range
la sirena|mermaid
la sombrilla|parasol
la sortija|ring
las rebajas|sales
las sobras|leftovers
las tinieblas|dark
la subasta|auction
la sudadera|sweatshirt
la suerte|luck
la telaraña|spiderweb
la telenovela|soap opera
la temporada|season
la ternura|tenderness
la tetera|teapot
la tienda de campaña|tent
la Tierra|Earth
la tinaja|large earthenware jar
la tinta|ink
la tiza|chalk
la toalla|towel
la toronja|grapefruit
la tórtola|turtledove
la trucha|trout
la tumbona|deckchair
la urbe|large city
la uva|grape
la valentía|bravery
la varita|wand
la vela|candle
la velada|evening
la ventisca|blizzard
la verdura|vegetable
la víspera|eve
la vista|view
la yema|yolk
la zanahoria|carrot
la zarig=C3=BCeya|opossum
la zarzamora|blackberry
leal|loyal
lejos|far away
lesionarse|to injure oneself
ligeramente|slightly
limítrofe|bordering
llover|to rain
lloviznar|to drizzle
lluvioso|rainy
lodoso|muddy
los ahorros|savings
los alrededores|outskirts
los añicos|pieces
los fuegos artificiales|fireworks
los palillos|chopsticks
lujoso|luxurious
machacar|to crush
madrugador|early riser
madrugar|to get up early
maduro|ripe
magro|lean
malvado|evil
mañanero|morning
maravilloso|wonderful
marchitar|to wither
marchito|withered
mascar|to chew
masticar|to chew
matutino|morning
maullar|to meow
media naranja|soulmate
mejorar|to improve
minúsculo|tiny
miope|nearsighted
mítico|mythical
moler|to grind
